cycle_counter;cycle_time;umschaltvolumen;maximaler_spritzdruck;umschaltspritzdruck;einspritzzeit;massepolster;dosierzeit;zylinderheizzone_1;zylinderheizzone_2;zylinderheizzone_3;zylinderheizzone_4;zylinderheizzone_5;zylinderheizzone_6;zylinderheizzone_7;zylinderheizzone_8;werkzeugheizkreis_1;weight;mittlere Wandst.
20017;64.82599639892578;27.00292015075684;975.93603515625;748.9859619140625;1.75600004196167;5.414865016937256;5.745999813079834;249.1999969482422;259.70001220703125;260.0;270.0;270.0;275.0;275.0;280.0;273.8999938964844;115.383;
20018;65.25;27.00292015075684;979.6510009765624;749.8302612304688;1.753999948501587;5.438666343688965;5.716000080108643;249.3000030517578;259.70001220703125;259.79998779296875;270.0;270.0;275.0;274.79998779296875;280.1000061035156;273.3999938964844;115.368;2,002600
20019;65.01799774169922;27.00292015075684;979.0599975585938;750.674560546875;1.75600004196167;5.545773983001709;5.728000164031982;249.3000030517578;259.79998779296875;259.8999938964844;270.0;269.8999938964844;275.0;275.0;279.8999938964844;273.8999938964844;115.366;
20020;64.7300033569336;27.00292015075684;979.7354125976562;751.6033325195312;1.75600004196167;5.474369049072266;5.73199987411499;249.3999938964844;259.70001220703125;259.8999938964844;269.8999938964844;270.0;275.0;275.0;279.8999938964844;273.70001220703125;115.371;
20021;67.43199920654297;27.00292015075684;977.96240234375;750.2523803710938;1.75600004196167;5.450567245483398;5.711999893188477;249.3999938964844;259.79998779296875;260.0;269.8999938964844;270.0;275.0;274.8999938964844;280.0;273.79998779296875;115.398;1,997200
20022;67.8740005493164;27.00292015075684;977.7091064453124;749.3236694335938;1.75600004196167;5.510071277618408;5.716000080108643;249.5;259.79998779296875;259.79998779296875;270.0;270.0;275.0;275.0;279.8999938964844;274.1000061035156;115.435;1,996600
20023;65.2239990234375;27.00292015075684;976.0204467773438;749.9146728515625;1.75600004196167;5.3434600830078125;5.734000205993652;249.5;259.70001220703125;259.8999938964844;269.8999938964844;270.0;275.0;275.0;279.8999938964844;273.6000061035156;115.407;2,012600
20024;64.75199890136719;26.99102020263672;975.6827392578124;749.8302612304688;1.75600004196167;5.462468147277832;5.73199987411499;249.3999938964844;259.79998779296875;259.79998779296875;269.8999938964844;270.0;275.1000061035156;275.0;280.0;274.3999938964844;115.409;2,042800
20025;64.802001953125;27.00292015075684;977.7091064453124;750.8434448242188;1.75600004196167;5.474369049072266;5.734000205993652;249.3999938964844;259.79998779296875;259.8999938964844;269.8999938964844;270.0;274.8999938964844;275.0;279.8999938964844;273.6000061035156;115.349;1,980200
20026;64.77400207519531;27.00292015075684;978.89111328125;751.687744140625;1.75600004196167;5.438666343688965;5.7179999351501465;249.1999969482422;259.6000061035156;259.8999938964844;269.8999938964844;270.0;274.8999938964844;275.0;280.0;274.70001220703125;115.407;1,973400
20027;65.24800109863281;26.99102020263672;982.4371948242188;752.616455078125;1.75600004196167;5.545773983001709;5.74399995803833;249.3000030517578;259.6000061035156;259.8999938964844;269.8999938964844;270.1000061035156;274.8999938964844;275.0;279.8999938964844;273.79998779296875;115.376;
20028;64.75199890136719;27.00292015075684;977.8779296875;753.123046875;1.75600004196167;5.474369049072266;5.71999979019165;249.1000061035156;259.79998779296875;259.79998779296875;269.79998779296875;270.0;275.0;274.8999938964844;280.0;273.79998779296875;115.356;1,984600
20029;67.7959976196289;27.00292015075684;979.7354125976562;754.7272338867188;1.75600004196167;5.402964115142822;5.734000205993652;249.0;259.6000061035156;259.6000061035156;269.8999938964844;270.0;274.8999938964844;275.0;279.79998779296875;273.79998779296875;115.399;2,001200
20030;65.08399963378906;27.00292015075684;980.4953002929688;753.9673461914062;1.75600004196167;5.581476211547852;5.73199987411499;249.1000061035156;259.70001220703125;259.79998779296875;269.8999938964844;270.0;274.8999938964844;274.8999938964844;280.0;274.6000061035156;115.392;
20031;64.74199676513672;27.00292015075684;981.339599609375;754.2206420898438;1.75600004196167;5.474369049072266;5.716000080108643;249.1000061035156;259.70001220703125;260.20001220703125;269.8999938964844;269.8999938964844;275.0;274.8999938964844;280.0;274.20001220703125;115.376;2,027000
20032;67.96600341796875;27.00292015075684;982.4371948242188;752.9542236328125;1.75600004196167;5.593377113342285;5.739999771118164;249.1999969482422;259.8999938964844;259.70001220703125;270.0;270.0;274.8999938964844;274.8999938964844;279.8999938964844;273.29998779296875;115.373;1,980400
20033;64.87200164794922;27.00292015075684;981.0863037109376;754.0518188476562;1.75600004196167;5.533873081207275;5.714000225067139;249.1999969482422;259.79998779296875;260.0;269.8999938964844;270.0;275.0;274.8999938964844;280.0;274.20001220703125;115.356;1,989600
20034;64.64600372314453;27.00292015075684;983.281494140625;754.2206420898438;1.75600004196167;5.557674407958984;5.691999912261963;249.3000030517578;259.79998779296875;260.0;269.8999938964844;270.0;274.8999938964844;274.8999938964844;280.0;273.70001220703125;115.324;2,015000
20035;64.74600219726562;27.00292015075684;984.2102661132812;756.078125;1.75600004196167;5.605278015136719;5.705999851226807;249.3999938964844;259.79998779296875;259.70001220703125;269.8999938964844;270.0;274.8999938964844;275.0;279.8999938964844;274.6000061035156;115.325;1,984000
20036;64.81600189208984;26.99102020263672;982.0994873046876;755.1494140625;1.75600004196167;5.450567245483398;5.711999893188477;251.8000030517578;259.70001220703125;260.0;269.8999938964844;270.0;275.0;274.8999938964844;279.8999938964844;273.70001220703125;115.343;2,017400
20037;64.7699966430664;27.00292015075684;978.1312255859376;750.5056762695312;1.75600004196167;4.593709468841553;5.806000232696533;252.1999969482422;261.20001220703125;260.0;270.0;270.0;275.0;275.0;279.8999938964844;273.79998779296875;115.342;2,021600
20038;64.80400085449219;27.00292015075684;961.8360595703124;746.1152954101562;1.75600004196167;3.8558599948883057;6.401999950408936;251.1000061035156;261.1000061035156;260.20001220703125;270.1000061035156;270.1000061035156;275.0;274.8999938964844;280.0;275.20001220703125;115.326;2,012600
